year,round,from_country_id,from_country,to_country_id,to_country,total_points,tele_points,jury_points,place_final,identifier
2000,final,fi,Finland,ch,Switzerland,0,NA,NA,20,2000_final_ch
2000,final,fi,Finland,cy,Cyprus,0,NA,NA,21,2000_final_cy
2000,final,fi,Finland,il,Israel,0,NA,NA,22,2000_final_il
2000,final,fi,Finland,fr,France,0,NA,NA,23,2000_final_fr
2000,final,fi,Finland,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,fr,France,dk,Denmark,7,NA,NA,1,2000_final_dk
2000,final,fr,France,ru,Russia,5,NA,NA,2,2000_final_ru
2000,final,fr,France,lv,Latvia,3,NA,NA,3,2000_final_lv
2000,final,fr,France,ee,Estonia,0,NA,NA,4,2000_final_ee
2000,final,fr,France,de,Germany,10,NA,NA,5,2000_final_de
2000,final,fr,France,ie,Ireland,4,NA,NA,6,2000_final_ie
2000,final,fr,France,se,Sweden,1,NA,NA,7,2000_final_se
2000,final,fr,France,mt,Malta,0,NA,NA,8,2000_final_mt
2000,final,fr,France,hr,Croatia,8,NA,NA,9,2000_final_hr
2000,final,fr,France,tr,Turkey,12,NA,NA,10,2000_final_tr
2000,final,fr,France,no,Norway,0,NA,NA,11,2000_final_no
2000,final,fr,France,is,Iceland,0,NA,NA,12,2000_final_is
2000,final,fr,France,nl,Netherlands,2,NA,NA,13,2000_final_nl
2000,final,fr,France,at,Austria,0,NA,NA,14,2000_final_at
2000,final,fr,France,mk,North Macedonia,0,NA,NA,15,2000_final_mk
2000,final,fr,France,gb,United Kingdom,0,NA,NA,16,2000_final_gb
2000,final,fr,France,ro,Romania,0,NA,NA,17,2000_final_ro
2000,final,fr,France,es,Spain,0,NA,NA,18,2000_final_es
2000,final,fr,France,fi,Finland,0,NA,NA,18,2000_final_fi
2000,final,fr,France,ch,Switzerland,0,NA,NA,20,2000_final_ch
2000,final,fr,France,cy,Cyprus,0,NA,NA,21,2000_final_cy
2000,final,fr,France,il,Israel,6,NA,NA,22,2000_final_il
2000,final,fr,France,fr,France,0,NA,NA,23,2000_final_fr
2000,final,fr,France,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,de,Germany,dk,Denmark,12,NA,NA,1,2000_final_dk
2000,final,de,Germany,ru,Russia,4,NA,NA,2,2000_final_ru
2000,final,de,Germany,lv,Latvia,7,NA,NA,3,2000_final_lv
2000,final,de,Germany,ee,Estonia,5,NA,NA,4,2000_final_ee
2000,final,de,Germany,de,Germany,0,NA,NA,5,2000_final_de
2000,final,de,Germany,ie,Ireland,0,NA,NA,6,2000_final_ie
2000,final,de,Germany,se,Sweden,8,NA,NA,7,2000_final_se
2000,final,de,Germany,mt,Malta,3,NA,NA,8,2000_final_mt
2000,final,de,Germany,hr,Croatia,6,NA,NA,9,2000_final_hr
2000,final,de,Germany,tr,Turkey,10,NA,NA,10,2000_final_tr
2000,final,de,Germany,no,Norway,0,NA,NA,11,2000_final_no
2000,final,de,Germany,is,Iceland,0,NA,NA,12,2000_final_is
2000,final,de,Germany,nl,Netherlands,1,NA,NA,13,2000_final_nl
2000,final,de,Germany,at,Austria,2,NA,NA,14,2000_final_at
2000,final,de,Germany,mk,North Macedonia,0,NA,NA,15,2000_final_mk
2000,final,de,Germany,gb,United Kingdom,0,NA,NA,16,2000_final_gb
2000,final,de,Germany,ro,Romania,0,NA,NA,17,2000_final_ro
2000,final,de,Germany,es,Spain,0,NA,NA,18,2000_final_es
2000,final,de,Germany,fi,Finland,0,NA,NA,18,2000_final_fi
2000,final,de,Germany,ch,Switzerland,0,NA,NA,20,2000_final_ch
2000,final,de,Germany,cy,Cyprus,0,NA,NA,21,2000_final_cy
2000,final,de,Germany,il,Israel,0,NA,NA,22,2000_final_il
2000,final,de,Germany,fr,France,0,NA,NA,23,2000_final_fr
2000,final,de,Germany,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,is,Iceland,dk,Denmark,12,NA,NA,1,2000_final_dk
2000,final,is,Iceland,ru,Russia,8,NA,NA,2,2000_final_ru
2000,final,is,Iceland,lv,Latvia,10,NA,NA,3,2000_final_lv
2000,final,is,Iceland,ee,Estonia,5,NA,NA,4,2000_final_ee
2000,final,is,Iceland,de,Germany,6,NA,NA,5,2000_final_de
2000,final,is,Iceland,ie,Ireland,2,NA,NA,6,2000_final_ie
2000,final,is,Iceland,se,Sweden,4,NA,NA,7,2000_final_se
2000,final,is,Iceland,mt,Malta,0,NA,NA,8,2000_final_mt
2000,final,is,Iceland,hr,Croatia,0,NA,NA,9,2000_final_hr
2000,final,is,Iceland,tr,Turkey,0,NA,NA,10,2000_final_tr
2000,final,is,Iceland,no,Norway,7,NA,NA,11,2000_final_no
2000,final,is,Iceland,is,Iceland,0,NA,NA,12,2000_final_is
2000,final,is,Iceland,nl,Netherlands,1,NA,NA,13,2000_final_nl
2000,final,is,Iceland,at,Austria,3,NA,NA,14,2000_final_at
2000,final,is,Iceland,mk,North Macedonia,0,NA,NA,15,2000_final_mk
2000,final,is,Iceland,gb,United Kingdom,0,NA,NA,16,2000_final_gb
2000,final,is,Iceland,ro,Romania,0,NA,NA,17,2000_final_ro
2000,final,is,Iceland,es,Spain,0,NA,NA,18,2000_final_es
2000,final,is,Iceland,fi,Finland,0,NA,NA,18,2000_final_fi
2000,final,is,Iceland,ch,Switzerland,0,NA,NA,20,2000_final_ch
2000,final,is,Iceland,cy,Cyprus,0,NA,NA,21,2000_final_cy
2000,final,is,Iceland,il,Israel,0,NA,NA,22,2000_final_il
2000,final,is,Iceland,fr,France,0,NA,NA,23,2000_final_fr
2000,final,is,Iceland,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,ie,Ireland,dk,Denmark,12,NA,NA,1,2000_final_dk
2000,final,ie,Ireland,ru,Russia,10,NA,NA,2,2000_final_ru
2000,final,ie,Ireland,lv,Latvia,8,NA,NA,3,2000_final_lv
